City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,makokou,0.5738,12.8642,73.08,91,100,0.6,GA,1701598108
1,waitangi,-43.9535,-176.5597,58.82,95,100,7.0,NZ,1701598109
2,umuahia,5.5263,7.4896,87.8,59,84,3.24,NG,1701598110
3,yellowknife,62.456,-114.3525,-13.45,75,54,5.01,CA,1701598086
4,harrisonville,38.6533,-94.3488,35.78,93,100,10.36,US,1701598100
5,ushuaia,-54.8,-68.3,35.17,89,82,3.29,AR,1701598112
6,lincoln,40.8,-96.667,31.12,94,100,7.0,US,1701598112
7,iqaluit,63.7506,-68.5145,5.05,88,100,3.94,CA,1701598113
8,prado,-17.3411,-39.2208,79.79,70,1,9.33,BR,1701597876
9,youkounkoun,12.5333,-13.1333,86.43,23,99,1.36,GN,1701598114
10,southside,33.9245,-86.0225,64.51,99,100,3.44,US,1701598115
11,invercargill,-46.4,168.35,48.76,61,29,12.1,NZ,1701598115
12,grytviken,-54.2811,-36.5092,35.82,71,25,13.94,GS,1701598116
13,port-aux-francais,-49.35,70.2167,42.46,93,100,37.54,TF,1701598116
14,iskateley,67.6803,53.1512,3.02,95,99,10.0,RU,1701598117
15,muswellbrook,-32.2667,150.9,68.25,78,42,12.5,AU,1701598117
16,uvira,-3.4067,29.1458,81.12,70,93,1.34,CD,1701598118
17,naze,28.3667,129.4833,59.49,60,66,7.85,JP,1701598119
18,shorkot,31.9099,70.8774,77.22,23,44,3.29,PK,1701598119
19,port mathurin,-19.6833,63.4167,78.53,84,88,16.31,MU,1701598120
20,nuevitas,21.5453,-77.2644,74.26,90,69,4.0,CU,1701598120
21,edinburgh of the seven seas,-37.0676,-12.3116,57.24,74,14,1.5,SH,1701598121
22,qaqortoq,60.7167,-46.0333,24.35,71,97,9.55,GL,1701598122
23,tommot,58.9564,126.2925,-13.95,99,100,2.57,RU,1701598122
24,rongelap,11.1635,166.8941,81.75,74,100,20.96,MH,1701598123
25,port elizabeth,-33.918,25.5701,80.1,74,79,8.01,ZA,1701598123
26,xai-xai,-25.0519,33.6442,83.68,46,22,10.89,MZ,1701598124
27,sao jose da coroa grande,-8.8978,-35.1478,80.82,78,53,9.86,BR,1701598125
28,georgetown,5.4112,100.3354,84.13,74,20,4.61,MY,1701598105
29,chlef,36.1652,1.3345,56.35,66,0,3.74,DZ,1701598126
30,bethel,41.3712,-73.414,46.87,89,100,4.61,US,1701598127
31,praia da vitoria,38.7333,-27.0667,55.76,78,87,18.5,PT,1701598127
32,bilibino,68.0546,166.4372,-13.77,99,100,1.97,RU,1701598128
33,portland,45.5234,-122.6762,47.57,93,100,5.75,US,1701597562
34,harstad,68.799,16.5293,27.16,84,63,3.96,NO,1701598129
35,nikolayevsk-on-amure,53.1406,140.73,0.18,93,39,3.27,RU,1701598130
36,lagos,6.5833,3.75,91.09,54,53,1.54,NG,1701598130
37,arraial do cabo,-22.9661,-42.0278,76.86,88,75,5.75,BR,1701598131
38,albany,42.6001,-73.9662,42.64,93,100,1.01,US,1701597845
39,hithadhoo,-0.6,73.0833,82.42,73,6,10.16,MV,1701598132
40,tiksi,71.6872,128.8694,-9.58,97,100,13.2,RU,1701598132
41,hadibu,12.65,54.0333,80.19,60,32,17.98,YE,1701598133
42,howrah,22.5892,88.3103,84.2,51,40,5.75,IN,1701598134
43,newman,37.3138,-121.0208,47.28,89,97,1.68,US,1701598134
44,fuxin,42.0156,121.6589,31.01,60,7,5.99,CN,1701598135
45,badger,64.8,-147.5333,-9.53,78,100,0.0,US,1701598135
46,thompson,55.7435,-97.8558,14.99,97,100,4.61,CA,1701598136
47,namibe,-15.1961,12.1522,72.93,88,100,4.54,AO,1701598136
