Trip Duration,Start Time,Stop Time,Start Station ID,Start Station Name,Start Station Latitude,Start Station Longitude,End Station ID,End Station Name,End Station Latitude,End Station Longitude,Bike ID,User Type,Birth Year,Gender
964,7/1/2016 0:06,7/1/2016 0:22,3185,City Hall,40.7177325,-74.043845,3199,Newport Pkwy,40.7287448,-74.0321082,24706,Subscriber,1987,1
472,7/1/2016 0:06,7/1/2016 0:14,3185,City Hall,40.7177325,-74.043845,3192,Liberty Light Rail,40.7112423,-74.0557013,24504,Subscriber,1981,2
565,7/1/2016 0:10,7/1/2016 0:20,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,24655,Subscriber,1990,1
413,7/1/2016 0:17,7/1/2016 0:24,3195,Sip Ave,40.73074263,-74.06378388,3209,Brunswick St,40.7241765,-74.0506564,24446,Subscriber,1983,1
436,7/1/2016 0:37,7/1/2016 0:44,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24408,Subscriber,1988,2
344,7/1/2016 0:37,7/1/2016 0:43,3202,Newport PATH,40.7272235,-74.0337589,3214,Essex Light Rail,40.7127742,-74.0364857,24517,Subscriber,1984,1
563,7/1/2016 0:42,7/1/2016 0:52,3199,Newport Pkwy,40.7287448,-74.0321082,3186,Grove St PATH,40.71958612,-74.04311746,24421,Subscriber,1991,1
149,7/1/2016 0:47,7/1/2016 0:49,3195,Sip Ave,40.73074263,-74.06378388,3194,McGinley Square,40.72533993,-74.06762213,24631,Customer,,0
2693,7/1/2016 0:57,7/1/2016 1:41,3207,Oakland Ave,40.7376037,-74.0524783,3207,Oakland Ave,40.7376037,-74.0524783,24443,Customer,,0
2688,7/1/2016 0:57,7/1/2016 1:41,3207,Oakland Ave,40.7376037,-74.0524783,3207,Oakland Ave,40.7376037,-74.0524783,24512,Customer,,0
1823,7/1/2016 1:11,7/1/2016 1:41,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,24421,Subscriber,1965,1
503,7/1/2016 1:14,7/1/2016 1:22,3215,Central Ave,40.7467299,-74.0492509,3215,Central Ave,40.7467299,-74.0492509,24560,Subscriber,1954,1
401,7/1/2016 1:16,7/1/2016 1:22,3185,City Hall,40.7177325,-74.043845,3203,Hamilton Park,40.72759597,-74.04424731,24699,Subscriber,1984,1
386,7/1/2016 1:16,7/1/2016 1:22,3211,Newark Ave,40.72152515,-74.04630454,3203,Hamilton Park,40.72759597,-74.04424731,24694,Subscriber,1958,2
588,7/1/2016 1:21,7/1/2016 1:31,3185,City Hall,40.7177325,-74.043845,3190,Garfield Ave Station,40.71046702,-74.0700388,24516,Subscriber,1988,1
421,7/1/2016 1:21,7/1/2016 1:28,3195,Sip Ave,40.73074263,-74.06378388,3193,Lincoln Park,40.7246051,-74.07840595,24396,Subscriber,1991,2
404,7/1/2016 1:28,7/1/2016 1:35,3205,JC Medical Center,40.71653978,-74.04963791,3194,McGinley Square,40.72533993,-74.06762213,24645,Subscriber,1987,1
1010,7/1/2016 1:32,7/1/2016 1:49,3215,Central Ave,40.7467299,-74.0492509,3215,Central Ave,40.7467299,-74.0492509,24528,Subscriber,1954,1
903,7/1/2016 2:10,7/1/2016 2:25,3205,JC Medical Center,40.71653978,-74.04963791,3213,Van Vorst Park,40.71848892,-74.04772663,24550,Subscriber,1972,1
1829,7/1/2016 2:19,7/1/2016 2:49,3212,Christ Hospital,40.73478582,-74.05044364,3212,Christ Hospital,40.73478582,-74.05044364,24394,Subscriber,1991,1
289,7/1/2016 2:29,7/1/2016 2:34,3183,Exchange Place,40.7162469,-74.0334588,3185,City Hall,40.7177325,-74.043845,24630,Subscriber,1986,1
728,7/1/2016 2:56,7/1/2016 3:08,3213,Van Vorst Park,40.71848892,-74.04772663,3213,Van Vorst Park,40.71848892,-74.04772663,24688,Subscriber,1972,1
452,7/1/2016 2:57,7/1/2016 3:05,3215,Central Ave,40.7467299,-74.0492509,3215,Central Ave,40.7467299,-74.0492509,24528,Subscriber,1954,1
1065,7/1/2016 3:04,7/1/2016 3:21,3183,Exchange Place,40.7162469,-74.0334588,3210,Pershing Field,40.74267714,-74.05178863,24458,Subscriber,1976,1
981,7/1/2016 3:50,7/1/2016 4:06,3217,Bayside Park,40.69865054,-74.08207968,3186,Grove St PATH,40.71958612,-74.04311746,24644,Subscriber,1983,1
379,7/1/2016 4:35,7/1/2016 4:41,3215,Central Ave,40.7467299,-74.0492509,3215,Central Ave,40.7467299,-74.0492509,24528,Subscriber,1954,1
263,7/1/2016 4:43,7/1/2016 4:47,3186,Grove St PATH,40.71958612,-74.04311746,3209,Brunswick St,40.7241765,-74.0506564,24644,Subscriber,1986,1
496,7/1/2016 5:00,7/1/2016 5:08,3209,Brunswick St,40.7241765,-74.0506564,3184,Paulus Hook,40.7141454,-74.0335519,24649,Subscriber,1990,1
394,7/1/2016 5:02,7/1/2016 5:08,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24682,Subscriber,1966,1
974,7/1/2016 5:16,7/1/2016 5:32,3207,Oakland Ave,40.7376037,-74.0524783,3185,City Hall,40.7177325,-74.043845,24430,Subscriber,1984,2
511,7/1/2016 5:26,7/1/2016 5:35,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24541,Subscriber,1967,1
2429,7/1/2016 5:35,7/1/2016 6:15,3207,Oakland Ave,40.7376037,-74.0524783,3205,JC Medical Center,40.71653978,-74.04963791,24506,Subscriber,1954,2
340,7/1/2016 5:38,7/1/2016 5:43,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3186,Grove St PATH,40.71958612,-74.04311746,24635,Subscriber,1977,1
697,7/1/2016 5:44,7/1/2016 5:55,3190,Garfield Ave Station,40.71046702,-74.0700388,3186,Grove St PATH,40.71958612,-74.04311746,24516,Subscriber,1986,1
649,7/1/2016 5:50,7/1/2016 6:01,3186,Grove St PATH,40.71958612,-74.04311746,3190,Garfield Ave Station,40.71046702,-74.0700388,24635,Subscriber,1988,1
251,7/1/2016 5:56,7/1/2016 6:00,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24389,Subscriber,1989,2
628,7/1/2016 5:58,7/1/2016 6:08,3193,Lincoln Park,40.7246051,-74.07840595,3195,Sip Ave,40.73074263,-74.06378388,24403,Subscriber,1991,1
302,7/1/2016 6:10,7/1/2016 6:15,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24574,Subscriber,1977,1
114,7/1/2016 6:11,7/1/2016 6:12,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24617,Subscriber,1974,1
315,7/1/2016 6:12,7/1/2016 6:18,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24457,Subscriber,1958,1
427,7/1/2016 6:20,7/1/2016 6:28,3225,Baldwin at Montgomery,40.7236589,-74.0641943,3211,Newark Ave,40.72152515,-74.04630454,24723,Subscriber,1991,2
694,7/1/2016 6:21,7/1/2016 6:33,3197,North St,40.752559,-74.044725,3195,Sip Ave,40.73074263,-74.06378388,24436,Subscriber,1990,1
965,7/1/2016 6:22,7/1/2016 6:38,3205,JC Medical Center,40.71653978,-74.04963791,3207,Oakland Ave,40.7376037,-74.0524783,24678,Subscriber,1954,2
538,7/1/2016 6:23,7/1/2016 6:31,3209,Brunswick St,40.7241765,-74.0506564,3184,Paulus Hook,40.7141454,-74.0335519,24562,Subscriber,1979,1
175,7/1/2016 6:23,7/1/2016 6:26,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24713,Subscriber,1986,1
411,7/1/2016 6:24,7/1/2016 6:31,3207,Oakland Ave,40.7376037,-74.0524783,3195,Sip Ave,40.73074263,-74.06378388,24512,Subscriber,1992,1
1056,7/1/2016 6:26,7/1/2016 6:43,3193,Lincoln Park,40.7246051,-74.07840595,3183,Exchange Place,40.7162469,-74.0334588,24582,Subscriber,1970,1
150,7/1/2016 6:26,7/1/2016 6:29,3186,Grove St PATH,40.71958612,-74.04311746,3187,Warren St,40.7211236,-74.03805095,24389,Subscriber,1974,1
472,7/1/2016 6:29,7/1/2016 6:36,3199,Newport Pkwy,40.7287448,-74.0321082,3211,Newark Ave,40.72152515,-74.04630454,24655,Subscriber,1991,2
474,7/1/2016 6:37,7/1/2016 6:45,3214,Essex Light Rail,40.7127742,-74.0364857,3186,Grove St PATH,40.71958612,-74.04311746,24517,Subscriber,1980,1
282,7/1/2016 6:37,7/1/2016 6:42,3202,Newport PATH,40.7272235,-74.0337589,3203,Hamilton Park,40.72759597,-74.04424731,24466,Subscriber,1967,1
139,7/1/2016 6:38,7/1/2016 6:41,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24550,Subscriber,1977,2
443,7/1/2016 6:40,7/1/2016 6:47,3187,Warren St,40.7211236,-74.03805095,3184,Paulus Hook,40.7141454,-74.0335519,24548,Subscriber,1986,1
1153,7/1/2016 6:40,7/1/2016 7:00,3201,Dey St,40.737711,-74.066921,3202,Newport PATH,40.7272235,-74.0337589,24607,Subscriber,1979,1
598,7/1/2016 6:43,7/1/2016 6:53,3213,Van Vorst Park,40.71848892,-74.04772663,3183,Exchange Place,40.7162469,-74.0334588,24688,Subscriber,1978,2
147,7/1/2016 6:43,7/1/2016 6:46,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24432,Subscriber,1985,1
250,7/1/2016 6:45,7/1/2016 6:49,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24525,Subscriber,1954,1
464,7/1/2016 6:48,7/1/2016 6:56,3195,Sip Ave,40.73074263,-74.06378388,3225,Baldwin at Montgomery,40.7236589,-74.0641943,24574,Subscriber,1988,1
339,7/1/2016 6:49,7/1/2016 6:54,3213,Van Vorst Park,40.71848892,-74.04772663,3183,Exchange Place,40.7162469,-74.0334588,24429,Subscriber,1976,2
193,7/1/2016 6:51,7/1/2016 6:54,3213,Van Vorst Park,40.71848892,-74.04772663,3186,Grove St PATH,40.71958612,-74.04311746,24629,Subscriber,1974,2
935,7/1/2016 6:54,7/1/2016 7:10,3196,Riverview Park,40.7443187,-74.0439909,3183,Exchange Place,40.7162469,-74.0334588,24378,Subscriber,1975,1
158,7/1/2016 7:01,7/1/2016 7:04,3187,Warren St,40.7211236,-74.03805095,3202,Newport PATH,40.7272235,-74.0337589,24612,Subscriber,1980,1
290,7/1/2016 7:02,7/1/2016 7:07,3209,Brunswick St,40.7241765,-74.0506564,3186,Grove St PATH,40.71958612,-74.04311746,24486,Subscriber,1989,2
211,7/1/2016 7:04,7/1/2016 7:07,3194,McGinley Square,40.72533993,-74.06762213,3195,Sip Ave,40.73074263,-74.06378388,24578,Subscriber,1978,2
116,7/1/2016 7:04,7/1/2016 7:06,3214,Essex Light Rail,40.7127742,-74.0364857,3183,Exchange Place,40.7162469,-74.0334588,24636,Subscriber,1983,1
1864,7/1/2016 7:07,7/1/2016 7:38,3203,Hamilton Park,40.72759597,-74.04424731,3186,Grove St PATH,40.71958612,-74.04311746,24613,Subscriber,1986,2
